customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15565701,698,Spain,Female,39,9,161993.8906,1,FALSE,FALSE,90212.38281,FALSE
15565706,612,Spain,Male,35,1,0,1,TRUE,TRUE,83256.25781,TRUE
15565714,601,France,Male,47,1,64430.05859,2,FALSE,TRUE,96517.96875,FALSE
15565779,627,Germany,Female,30,6,57809.32031,1,TRUE,FALSE,188258.4844,FALSE
15565796,745,Germany,Male,48,10,96048.54688,1,TRUE,FALSE,74510.64844,FALSE
15565806,532,France,Male,38,9,0,2,FALSE,FALSE,30583.94922,FALSE
15565878,631,Spain,Male,29,3,0,2,TRUE,TRUE,197963.4531,FALSE
15565879,845,France,Female,28,9,0,2,TRUE,TRUE,56185.98047,FALSE
15565891,709,France,Male,39,8,0,2,TRUE,FALSE,56214.08984,FALSE
15565996,653,France,Male,44,8,0,2,TRUE,TRUE,154639.7188,FALSE
15566030,497,Germany,Male,41,5,80542.8125,1,FALSE,FALSE,88729.21875,TRUE
15566091,545,Spain,Female,32,4,0,1,TRUE,FALSE,94739.20313,FALSE
15566111,596,France,Male,39,9,0,1,TRUE,FALSE,48963.58984,FALSE
15566139,526,France,Female,37,5,53573.17969,1,TRUE,FALSE,62830.96875,FALSE
15566156,749,Germany,Female,44,0,71497.78906,2,FALSE,FALSE,151083.7969,FALSE
15566211,616,Germany,Female,41,1,103560.5703,1,TRUE,FALSE,236.4499969,TRUE
15566251,618,France,Female,37,5,96652.85938,1,TRUE,FALSE,98686.39844,TRUE
15566253,580,Germany,Male,44,9,143391.0625,1,FALSE,FALSE,146891.0625,TRUE
15566269,787,France,Male,25,5,0,2,TRUE,FALSE,47307.89844,FALSE
15566292,574,Spain,Male,36,1,0,2,FALSE,TRUE,71709.11719,FALSE
15566295,761,France,Female,33,6,138053.7969,2,TRUE,FALSE,148779.4063,FALSE
15566312,660,Spain,Female,42,5,0,3,TRUE,TRUE,189016.2344,TRUE
15566378,515,France,Male,48,5,129387.9375,1,FALSE,TRUE,147955.9063,TRUE
15566380,586,Spain,Female,33,10,66948.67188,2,TRUE,TRUE,140759.0313,FALSE
15566467,683,Germany,Female,32,0,138171.0938,2,TRUE,TRUE,188203.5781,FALSE
15566494,487,France,Male,45,2,0,2,TRUE,FALSE,77475.72656,FALSE
15566495,704,Spain,Female,24,2,0,1,TRUE,FALSE,35600.25,TRUE
15566531,724,Germany,Male,33,4,88046.88281,1,FALSE,TRUE,186942.4844,TRUE
15566543,573,Spain,Male,44,9,0,2,TRUE,FALSE,107124.1719,FALSE
15566563,777,France,Female,30,4,137851.3125,1,TRUE,FALSE,5008.22998,TRUE
15566594,709,Spain,Male,23,10,0,2,FALSE,FALSE,129590.1797,FALSE
15566633,698,Germany,Male,55,8,155059.0938,2,TRUE,TRUE,144584.2969,FALSE
15566660,670,France,Female,41,10,0,3,TRUE,FALSE,81602.02344,FALSE
15566689,554,Spain,Male,66,8,0,2,TRUE,TRUE,116747.6172,FALSE
15566708,444,France,Female,45,4,0,2,TRUE,FALSE,161653.5,TRUE
15566735,548,Germany,Female,36,2,108913.8438,2,TRUE,TRUE,140460.0156,FALSE
15566740,587,Spain,Male,51,3,83739.32031,1,FALSE,TRUE,148798.4531,FALSE
15566790,598,France,Male,28,8,129991.7578,2,FALSE,TRUE,46041.07813,FALSE
15566843,535,Germany,Male,20,9,134874.4063,1,TRUE,TRUE,118825.5625,FALSE
15566891,584,Germany,Female,41,3,88594.92969,1,TRUE,FALSE,178997.8906,FALSE
15566894,793,France,Male,39,3,137817.5156,1,FALSE,FALSE,83997.78906,FALSE
15566958,667,Spain,Male,39,7,167557.125,1,TRUE,TRUE,41183.01953,FALSE
15566988,656,Germany,Female,46,7,141535.5156,1,TRUE,FALSE,50595.14844,TRUE
15567013,779,Spain,Male,33,3,0,2,TRUE,FALSE,30804.67969,FALSE
15567063,766,Germany,Female,34,6,106434.9375,1,FALSE,TRUE,137995.6563,TRUE
15567078,789,France,Female,27,8,66201.96094,1,TRUE,TRUE,79458.11719,FALSE
15567114,430,France,Male,35,1,118894.2188,1,FALSE,FALSE,2923.610107,FALSE
15567147,802,Spain,Male,40,4,0,2,TRUE,TRUE,81908.09375,FALSE
15567246,684,Germany,Male,32,3,102630.1328,2,TRUE,TRUE,127433.4688,FALSE
15567328,738,Spain,Male,38,5,177997.0625,1,FALSE,TRUE,19233.41016,FALSE
15567333,712,France,Female,31,7,0,2,TRUE,FALSE,170333.375,FALSE
15567335,559,France,Female,42,7,0,2,TRUE,TRUE,190040.2969,FALSE
